layer,dep_name,prov_name,type,download_path
AREQUIPA,AREQUIPA,CARAVELI,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_caraveli_simplified.gpkg
AREQUIPA,AREQUIPA,CASTILLA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_castilla.gpkg
AREQUIPA,AREQUIPA,CASTILLA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_castilla_simplified.gpkg
AREQUIPA,AREQUIPA,CAYLLOMA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_caylloma.gpkg
AREQUIPA,AREQUIPA,CAYLLOMA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_caylloma_simplified.gpkg
AREQUIPA,AREQUIPA,CONDESUYOS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_condesuyos.gpkg
AREQUIPA,AREQUIPA,CONDESUYOS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_condesuyos_simplified.gpkg
AREQUIPA,AREQUIPA,ISLAY,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_islay.gpkg
AREQUIPA,AREQUIPA,ISLAY,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_islay_simplified.gpkg
AREQUIPA,AREQUIPA,LA UNION,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_la_union.gpkg
AREQUIPA,AREQUIPA,LA UNION,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/arequipa_la_union_simplified.gpkg
AYACUCHO,AYACUCHO,CANGALLO,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_cangallo.gpkg
AYACUCHO,AYACUCHO,CANGALLO,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_cangallo_simplified.gpkg
AYACUCHO,AYACUCHO,HUAMANGA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_huamanga.gpkg
AYACUCHO,AYACUCHO,HUAMANGA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_huamanga_simplified.gpkg
AYACUCHO,AYACUCHO,HUANCA SANCOS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_huanca_sancos.gpkg
AYACUCHO,AYACUCHO,HUANCA SANCOS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_huanca_sancos_simplified.gpkg
AYACUCHO,AYACUCHO,HUANTA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_huanta.gpkg
AYACUCHO,AYACUCHO,HUANTA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_huanta_simplified.gpkg
AYACUCHO,AYACUCHO,LA MAR,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_la_mar.gpkg
AYACUCHO,AYACUCHO,LA MAR,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_la_mar_simplified.gpkg
AYACUCHO,AYACUCHO,LUCANAS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_lucanas.gpkg
AYACUCHO,AYACUCHO,LUCANAS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_lucanas_simplified.gpkg
AYACUCHO,AYACUCHO,PARINACOCHAS,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_parinacochas.gpkg
AYACUCHO,AYACUCHO,PARINACOCHAS,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_parinacochas_simplified.gpkg
AYACUCHO,AYACUCHO,PAUCAR DEL SARA SARA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_paucar_del_sara_sara.gpkg
AYACUCHO,AYACUCHO,PAUCAR DEL SARA SARA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_paucar_del_sara_sara_simplified.gpkg
AYACUCHO,AYACUCHO,SUCRE,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_sucre.gpkg
AYACUCHO,AYACUCHO,SUCRE,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_sucre_simplified.gpkg
AYACUCHO,AYACUCHO,VICTOR FAJARDO,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_victor_fajardo.gpkg
AYACUCHO,AYACUCHO,VICTOR FAJARDO,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_victor_fajardo_simplified.gpkg
AYACUCHO,AYACUCHO,VILCAS HUAMAN,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_vilcas_huaman.gpkg
AYACUCHO,AYACUCHO,VILCAS HUAMAN,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/ayacucho_vilcas_huaman_simplified.gpkg
CAJAMARCA,CAJAMARCA,CAJABAMBA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_cajabamba.gpkg
CAJAMARCA,CAJAMARCA,CAJABAMBA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_cajabamba_simplified.gpkg
CAJAMARCA,CAJAMARCA,CAJAMARCA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_cajamarca.gpkg
CAJAMARCA,CAJAMARCA,CAJAMARCA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_cajamarca_simplified.gpkg
CAJAMARCA,CAJAMARCA,CELENDIN,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_celendin.gpkg
CAJAMARCA,CAJAMARCA,CELENDIN,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_celendin_simplified.gpkg
CAJAMARCA,CAJAMARCA,CHOTA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_chota.gpkg
CAJAMARCA,CAJAMARCA,CHOTA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_chota_simplified.gpkg
CAJAMARCA,CAJAMARCA,CONTUMAZA,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_contumaza.gpkg
CAJAMARCA,CAJAMARCA,CONTUMAZA,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_contumaza_simplified.gpkg
CAJAMARCA,CAJAMARCA,CUTERVO,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_cutervo.gpkg
CAJAMARCA,CAJAMARCA,CUTERVO,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_cutervo_simplified.gpkg
CAJAMARCA,CAJAMARCA,HUALGAYOC,complete,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_hualgayoc.gpkg
CAJAMARCA,CAJAMARCA,HUALGAYOC,simplified,https://github.com/PaulESantos/perugeopkg/raw/master/geo/prov/cajamarca_hualgayoc_simplified.gpkg
