anp_nombre,anp_categoria,download_path
LA PAMPA DEL BURRO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_la_pampa_del_burro.gpkg
LAGUNAS Y PARAMOS DE ANDINOS DE SAN JOSE DE TAPAL,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_lagunas_y_paramos_de_andinos_de_san_jose_de_tapal.gpkg
LAKSHMI AMAZONICA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_lakshmi_amazonica.gpkg
LARGA VISTA I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_larga_vista_i.gpkg
LAS NARANJAS,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_las_naranjas.gpkg
LAS PANGUANAS I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_las_panguanas_1.gpkg
LAS PANGUANAS II,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_las_panguanas_2.gpkg
LAS PANGUANAS III,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_las_panguanas_3.gpkg
LAS PANGUANAS IV,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_las_panguanas_4.gpkg
LLAMAPAMPA LA JALCA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_llamapampa_la_jalca.gpkg
LOMAS DE ATIQUIPA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_lomas_de_atiquipa.gpkg
LOMAS DE QUEBRADA RIO SECO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_lomas_de_quebrada_rio_seco.gpkg
LOMAS DEL CERRO CAMPANA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_lomas_del_cerro_campana.gpkg
LOS AMIGOS,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_los_amigos.gpkg
LOS BOSQUES DE DOTOR HUALTACAL PUEBLO LIBRE LA JARDINA Y CHORRO BLANCO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_los_bosques_de_dotor_hualtacal_pueblo_libre_la_jardina_y_chorro_blanco.gpkg
LOS BOSQUES DE OVERAL Y PALO BLANCO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_los_bosques_de_overal_y_palo_blanco.gpkg
LOS CHILCHOS,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_los_chilchos.gpkg
MACHUSANIACA I,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_machusaniaca_i.gpkg
MACHUSANIACA II,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_machusaniaca_ii.gpkg
MANGAMANGUILLA DE LA ASOCIACION AGRARIA MANGA MANGA DE SALITRAL,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_mangamanguilla_de_la_asociacion_agraria_manga_manga_de_salitral.gpkg
MASHEKE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_masheke.gpkg
MATORIATO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_matoriato.gpkg
MISQUIYACO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_misquiyaco.gpkg
NATURALEZA VIVA RYO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_naturaleza_viva_ryo.gpkg
NI MERAYA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_ni_meraya.gpkg
NIHII EUPA FRANCISCO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_nihii_eupa_francisco.gpkg
PABLITO II,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pablito_ii.gpkg
PACLLON,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pacllon.gpkg
PALMONTE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_palmonte.gpkg
PAMPACORRAL,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pampacorral.gpkg
PANGUANA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_panguana.gpkg
PARAISO NATURAL IWIRATI,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_paraiso_natural_iwirati.gpkg
PARAJE CAPIRO LLAYLLA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_paraje_capiro_llaylla.gpkg
PARAMOS Y BOSQUES MONTANOS DE LA COMUNIDAD CAMPESINA SAN JUAN DE SALLIQUE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_paramos_y_bosques_montanos_de_la_comunidad_campesina_san_juan_de_sallique.gpkg
PARAMOS Y BOSQUES MONTANOS PARAISO DE LA COMUNIDAD CAMPESINA SAN FELIPE,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_paramos_y_bosques_montanos_paraiso_de_la_comunidad_campesina_san_felipe.gpkg
PARAMOS Y BOSQUES MONTANOS SAN MIGUEL DE TABACONAS,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_paramos_y_bosques_montanos_san_miguel_de_tabaconas.gpkg
PILLCO GRANDE BOSQUE DE PUMATAKI,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pillco_grande_bosque_de_pumataki.gpkg
POTSOM POSHOLL,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_potsom_posholl.gpkg
PREDIO COLLPAPAMPA HUADQUINA MESADA CHICO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_predio_collpapampa_huadquina_mesada_chico.gpkg
PUCUNUCHO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pucunucho.gpkg
PUMAWASI,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pumawasi.gpkg
REFUGIO KERENDA HOMET,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_refugio_kerenda_homet.gpkg
REFUGIO LUPUNA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_refugio_lupuna.gpkg
RONSOCO COCHA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_ronsoco_cocha.gpkg
SABALILLO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_sabalillo.gpkg
SAN ANTONIO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_antonio.gpkg
SAN JUAN BAUTISTA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_juan_bautista.gpkg
SAN LORENZO,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_lorenzo.gpkg
SAN LUIS,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_luis.gpkg
SAN MARCOS,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_marcos.gpkg
SAN PEDRO DE CHUQUIBAMBA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_pedro_de_chuquibamba.gpkg
SANTA CATALINA DE MOZA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_santa_catalina_de_moza.gpkg
SANTUARIO DE LA VERONICA,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_santuario_de_la_veronica.gpkg
