anp_nombre,anp_categoria,download_path
Paraiso Natural Iwirati,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_paraiso_natural_iwirati.gpkg
Paraje Capiro Llaylla,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_paraje_capiro_llaylla.gpkg
Paramos y Bosques Montanos de la Comunidad Campesina San Juan de Sallique,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_paramos_y_bosques_montanos_de_la_comunidad_campesina_san_juan_de_sallique.gpkg
"Paramos y Bosques Montanos, Paraiso de la Comunidad Campesina San Felipe",Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_paramos_y_bosques_montanos_paraiso_de_la_comunidad_campesina_san_felipe.gpkg
Paramos y Bosques Montanos San Miguel de Tabaconas,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_paramos_y_bosques_montanos_san_miguel_de_tabaconas.gpkg
Pillco Grande - Bosque de Pumataki,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pillco_grande_bosque_de_pumataki.gpkg
Potsom Posho'll,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_potsom_posholl.gpkg
Predio Collpapampa (Huadquina-Mesada Chico),Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_predio_collpapampa_huadquinamesada_chico.gpkg
Pucunucho,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pucunucho.gpkg
Pumawasi,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_pumawasi.gpkg
Refugio K'erenda Homet,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_refugio_kerenda_homet.gpkg
Refugio Lupuna,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_refugio_lupuna.gpkg
Ronsoco Cocha,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_ronsoco_cocha.gpkg
Sabalillo,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_sabalillo.gpkg
San Antonio,Área de Conservación Privada,https://github.com/PaulESantos/perugeopkg/raw/master/anp/acp_san_antonio.gpkg
